"","A2.1","A2.2","A2.3","A3.1","A3.2","A3.3","A4.1","A4.2","A4.3","A4.4","A5.1","A5.2","A5.3","A5.4","A5.5","A5.6","A5.7","A10.1","A10.2","A10.3","A10.4","A17.1","A17.2","A17.3","A21.1","A21.2","A21.3","A22.1","A22.2","A22.3","A24.1","A24.2","A24.3","A25.1","A25.2","A25.3","A27.1","A27.2","A27.3","A28.1","A28.2","A28.3","LM.Nose","LM.Foot","LZ.Nose","LZ.Foot","NG.Nose","NG.Foot","VK.Nose","VK.Foot","AK.Nose","AK.Foot","MS.Nose","MS.Foot","AH.Nose","AH.Foot","AY_Nose","AY.Foot","JS.Nose","JS.Foot","PC.Nose","PC.Foot","SB.Nose","SB.Foot"
"ST130",871,1920,0,2580,1490,0,4317,371,0,35014,86407,22860,11070,14288,10850,17751,8539,0,0,0,326,89259,82828,48755,1735,546,4212,0,21850,0,1713,245,8745,0,0,0,18647,0,19690,0,0,0,0,18,0,0,0,4802,0,2386,0,0,0,0,750,0,0,0,2018,14,0,0,0,0
"ST200",0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49835,0,0,0,0,0,5374,13251,25606,0,38997,0,0,0,0,0,0,0,0,0,0,3171,0,0,0,0,0,0,0,13603,0,0,0,0,0,0,0
"ST184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11186,0,0,0,0,0,0,1199,0,0,0
"ST8",50518,58960,77253,465,581,1213,77414,81309,68404,21716,40,22530,24099,7913,6009,19950,1397,928,6027,1073,4239,361,3642,509,203,216,86,56561,45390,31993,888,3601,604,127,0,309,637,5012,954,16,12,27,0,0,0,0,0,1054,85,1048,134,8729,0,31003,0,0,12205,0,13029,0,42091,5061,21489,0
"ST73",12121,6763,1451,57707,17858,12285,14639,6222,0,4231,3057,14871,10787,2970,1439,1216,17844,0,111299,52384,59133,201,0,12192,12161,7296,3111,756,657,1233,4426,1000,0,0,0,4768,4502,5374,5612,272,0,0,0,0,0,0,0,2190,0,58680,0,0,0,0,0,0,273,0,38,0,0,2124,5564,0
"ST2",0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,16724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53157,0,0,0,0,0,0,0,0,6899,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,10345,0,0,0
"ST88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0
"ST293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST59",8170,8156,0,30682,18131,65391,13,0,0,20,0,0,0,500,258,0,0,0,0,21515,0,0,753,0,0,0,0,0,0,0,2564,672,0,0,0,163,0,3605,0,5085,121,0,0,0,0,0,0,1481,0,642,114,0,0,6897,11178,0,0,102,5879,0,0,0,144,0
"ST83",0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0
"ST5",0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,22857,0,46467,0,0,0,35648,65569,70219,0,0,0,0,0,0,168,607,0,229,0,0,0,8411,11134,0,98765,0,0,0,0,0,0,0,0,0,0,0,53,2571,0,0,0,0,0,0,0
"ST297",424,0,0,0,0,0,0,0,0,0,0,16523,9210,15861,11267,22596,26045,1232,14138,18132,10479,0,0,25457,57268,26032,3407,3042,0,0,0,0,0,0,149,800,2951,10596,24570,0,0,580,0,0,0,0,0,1639,93,1927,1965,18938,0,1477,5304,0,0,0,0,0,0,0,46,0
"-",307,131,259,0,0,4247,0,0,0,0,0,2007,4305,314,12,135,6,522,865,0,0,87,2194,3477,2952,0,0,4708,2358,2525,0,0,17434,379,274,30,113,13,0,8796,3104,20301,68493,338,42980,129,0,0,93994,6515,188,0,0,0,7202,0,36,52072,202,0,0,66723,774,21006
"ST331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3449,483,0,0,0,0,0,0,1423,23877,0,544,0,0,0,55444,0,18839,0,0,42904,0,0,0,52892,0,0,0,0
"ST215",0,0,0,6493,3986,5527,1796,0,0,0,1194,0,1569,1275,0,0,4306,0,1246,767,1195,0,2238,9657,2987,2032,973,2132,2206,2060,56889,41578,15813,0,35,2012,3026,10689,6428,76,17,1745,0,0,499,30141,11,2258,191,0,0,0,64,2008,1572,0,0,0,2998,0,0,0,4068,56
"ST100",509,79,0,0,0,0,0,0,0,0,0,215,598,212,81,0,0,0,444,0,0,0,220,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9073,69,0,191,0,0,0,0,0,0,0,329,2895,0,0,0,249,0,25,2740,0,0,0,0,10,0
"ST290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18885,115,0,0,107586,0,9527,0,0,0,28296,0,0,22295,0,0,0,0,0,2530,0,90
"ST218",1931,1551,67,0,84,1575,0,0,0,0,0,1637,0,0,0,0,0,0,0,0,0,0,0,15185,0,0,0,0,0,0,0,0,0,39223,62378,11699,0,0,0,0,0,0,0,0,0,3037,0,0,0,0,0,0,0,0,0,0,2079,0,0,0,0,0,538,0
"ST384",266,211,0,0,0,1228,86,0,0,0,2626,822,547,58,0,0,171,0,29,32,453,47,15,0,12822,2712,980,0,0,0,307,112,3776,0,0,0,0,265,108,8,4,0,0,0,0,0,0,22334,0,1273,0,0,0,0,21,0,99,0,3737,0,0,0,649,0
"ST14",0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,401,6675,0,0,0,1406,4767,8880,0,0,0,0,0,0,0,0,0,0,0,0,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10530,8687,723,0,0,0,10493,0,0,0,0,0,0,0,4065,13279,0,0,0,0,0,0,0,0,0
"ST170",0,0,0,0,0,0,3005,404,0,0,0,0,0,0,0,0,0,0,1848,1735,947,0,6260,0,0,0,0,1880,1338,955,0,0,0,0,0,0,8,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,1166,0
"ST19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,3141,0,0,0,0,0,0,0,0,0,250,603,1871,0,0,0,0,0,0,0,0,0,0,5625,0,0,0,0,0,0,451,0,0,0,0,0,0,0
"ST329",0,0,0,0,0,0,0,0,0,0,0,0,2286,134,0,0,0,0,0,0,0,0,0,0,0,328,434,0,0,0,0,0,0,0,45,0,731,2346,115,0,0,0,0,0,0,0,0,0,1442,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2265,0,0,0,0,0,0,0
"ST691",0,0,0,0,0,0,0,0,0,0,0,50,1768,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified",0,0,0,513,8,0,0,0,0,0,7,5,45,0,0,0,0,0,0,0,383,0,0,7,0,0,0,0,0,0,0,0,60,0,0,6,0,0,338,0,2,234,3451,2581,1855,1,402,14,1983,0,286,0,2002,0,0,74,0,0,0,0,0,903,8,96
