"ST"	"Group"	"epi01_ASV"	"epi02_ASV"	"freq"
"8888"	"324"	113	1	1	2
"815097"	"5"	48	40	2	55
"846906"	"225"	61	3	3	1
"846960"	"-"	62	3	3	1
"847064"	"225"	63	3	3	2
"847222"	"225"	65	3	3	3
"865555"	"278"	37	5	3	4
"865641"	"32"	38	5	3	3
"878264"	"204"	68	6	3	1
"1022204"	"210"	70	20	3	5
"1276441"	"32"	38	5	4	2
"1901258"	"331"	17	26	5	1
"2117833"	"-"	29	7	6	1
"2559613"	"170"	31	10	7	2
"2939275"	"-"	27	7	8	1
"3381213"	"170"	31	10	9	1
"3658503"	"170"	31	37	9	1
"3722743"	"225"	64	3	10	2
"4313066"	"570"	126	20	11	3
"4892549"	"89"	51	37	12	1
"5103109"	"218"	117	17	13	1
"5350434"	"-"	128	1	14	1
"5391686"	"184"	130	5	14	1
"5513909"	"218"	117	17	14	24
"5524179"	"218"	117	18	14	2
"5637915"	"-"	127	29	14	1
"5763604"	"-"	28	2	15	1
"6256959"	"-"	33	10	16	1
"6667594"	"72"	30	10	17	2
"7058007"	"673"	32	8	18	1
"7068277"	"673"	32	9	18	1
"7078547"	"673"	32	10	18	1
"7499723"	"19"	34	11	19	4
"7812128"	"513"	88	1	20	1
"8418692"	"520"	96	20	21	1
"8418771"	"520"	97	20	21	2
"8592707"	"293"	89	37	21	3
"8593097"	"256"	94	37	21	2
"8593176"	"256"	95	37	21	1
"9003188"	"283"	85	37	22	1
"9327925"	"89"	35	29	23	1
"9328004"	"89"	36	29	23	1
"9333584"	"4"	107	29	23	1
"9822703"	"-"	59	37	24	1
"10175991"	"-"	111	31	25	1
"10295819"	"626"	67	3	26	1
"10310449"	"-"	123	4	26	1
"10443591"	"252"	118	17	26	1
"10543614"	"307"	84	27	26	4
"10645565"	"88"	74	37	26	6
"10676935"	"114"	82	40	26	1
"10677074"	"637"	83	40	26	1
"11090894"	"110"	122	40	27	1
"11151628"	"656"	110	6	28	1
"11209240"	"136"	60	12	28	1
"11908996"	"59"	77	40	29	1
"11911479"	"190"	109	40	29	2
"12319796"	"59"	77	40	30	4
"12373592"	"549"	108	5	31	1
"13144753"	"21"	120	40	32	3
"13552196"	"59"	77	40	33	1
"13564617"	"-"	105	1	34	1
"13566118"	"-"	124	1	34	1
"13601043"	"130"	46	5	34	13
"13605992"	"549"	108	5	34	1
"13685522"	"297"	75	13	34	1
"13695792"	"297"	75	14	34	10
"13725390"	"136"	60	17	34	2
"13730043"	"-"	119	17	34	1
"13756951"	"384"	69	20	34	7
"13757817"	"351"	80	20	34	1
"13757898"	"38"	81	20	34	1
"13758326"	"1"	87	20	34	2
"13758738"	"20"	92	20	34	1
"13770011"	"73"	104	21	34	1
"13771600"	"100"	125	21	34	10
"13813467"	"-"	5	26	34	1
"13863711"	"-"	121	30	34	1
"13930545"	"-"	57	37	34	1
"13932186"	"59"	77	37	34	2
"13934207"	"255"	103	37	34	1
"13934669"	"190"	109	37	34	2
"13942456"	"59"	77	38	34	1
"13952726"	"59"	77	39	34	1
"13962599"	"57"	72	40	34	1
"13962909"	"5"	76	40	34	2
"13962996"	"59"	77	40	34	36
